CID,workexp,age,gender,Source,Educ,previous,location,Joined
C201565NKUU,3,37,M,1-Consultancy,e1,No,L4,Not Joined
C20157QDDRX,4,38,F,1-Consultancy,e2,No,L5,Not Joined
C2015E0YFGH,4,35,M,2-Referral,e2,No,L3,Joined
C2015CKZ9QI,4,41,M,2-Referral,e1,Yes,L1,Joined
C20156PNW2X,4,44,M,2-Referral,e1,Yes,L5,Joined
C201558RL1N,3,32,F,2-Referral,e1,Yes,L4,Not Joined
C2015OZ9GM2,3,36,M,1-Consultancy,e1,No,L3,Joined
C2015PMP62S,4,36,F,2-Referral,e2,Yes,L1,Not Joined
C2015OWQE25,4,37,F,2-Referral,e2,Yes,L5,Joined
C2015SI4JT6,3,27,F,1-Consultancy,e1,Yes,L2,Not Joined
C2015170PE0,3,37,M,3-SocialMedia,e2,Yes,L4,Not Joined
C2015MISTRX,3,26,F,3-SocialMedia,e1,Yes,L5,Not Joined
C20155YPNOV,3,43,M,3-SocialMedia,e2,Yes,L5,Joined
C2015DN7JMQ,4,35,F,2-Referral,e2,No,L7,Joined
C201560TI6X,5,35,M,3-SocialMedia,e2,Yes,L2,Not Joined
C2015DZTG55,4,37,F,2-Referral,e2,Yes,L4,Not Joined
C2015U4VU3K,4,35,M,2-Referral,e1,Yes,L5,Joined
C20159BCDWG,3,31,F,1-Consultancy,e2,Yes,L1,Not Joined
C2015XSCV1B,4,39,M,2-Referral,e2,No,L3,Joined
C2015KWDDJI,4,38,F,3-SocialMedia,e1,Yes,L2,Not Joined
C2015OCWLY2,3,32,M,2-Referral,e1,Yes,L4,Not Joined
C2015495JGD,3,35,F,1-Consultancy,e1,Yes,L5,Not Joined
C201517T7HP,3,36,M,3-SocialMedia,e1,No,L1,Not Joined
C2015BQDTFT,4,43,M,1-Consultancy,e1,No,L1,Joined
C2015IEESA2,3,27,M,3-SocialMedia,e2,No,L2,Not Joined
C2015TUWKGQ,4,37,F,3-SocialMedia,e1,Yes,L4,Not Joined
C20153D6JGL,4,44,M,1-Consultancy,e1,No,L3,Joined
C2015J79MA9,3,36,F,2-Referral,e1,Yes,L1,Not Joined
C201576RCYY,4,36,M,3-SocialMedia,e2,No,L5,Joined
C20150UVI2B,3,39,F,2-Referral,e1,Yes,L7,Joined
C2015S85YFI,3,37,M,1-Consultancy,e2,No,L4,Not Joined
C2015W70SA7,4,37,M,2-Referral,e2,No,L1,Joined
C2015XAQXQH,3,31,M,3-SocialMedia,e2,No,L1,Not Joined
C20158FP2MD,4,37,F,3-SocialMedia,e1,No,L3,Not Joined
C2015WT6ZON,4,38,M,3-SocialMedia,e1,No,L2,Not Joined
C2015MMUPMY,4,32,F,2-Referral,e1,No,L4,Not Joined
C2015LP9K7D,3,35,M,1-Consultancy,e1,No,L5,Not Joined
C2015XPCCV9,4,36,F,1-Consultancy,e2,No,L1,Not Joined
C2015MN1TOW,4,35,F,2-Referral,e1,Yes,L3,Joined
C2015011JPE,4,36,M,2-Referral,e1,No,L1,Joined
C2015H7ZHL5,4,39,F,2-Referral,e2,No,L5,Joined
C2015NZRKSA,3,37,F,3-SocialMedia,e1,No,L7,Joined
C2015R2Z4PZ,3,37,F,1-Consultancy,e2,Yes,L3,Joined
C2015VSN7QL,4,35,F,1-Consultancy,e1,Yes,L3,Not Joined
C2015PN1TG5,4,35,M,1-Consultancy,e1,Yes,L2,Not Joined
C20156M1R77,4,37,F,3-SocialMedia,e2,Yes,L4,Not Joined
C2015438CLB,4,35,M,3-SocialMedia,e2,Yes,L3,Joined
C2015LPIYMU,3,41,F,1-Consultancy,e1,No,L1,Joined
C20154KZ0QK,4,37,M,1-Consultancy,e1,No,L3,Not Joined
C2015NFVMC7,4,35,F,2-Referral,e1,No,L7,Joined
C2015Q3YFAW,4,32,M,1-Consultancy,e1,Yes,L4,Not Joined
C2015E6SD57,3,35,F,3-SocialMedia,e1,No,L5,Not Joined
C2015ZJ9K9F,4,36,M,2-Referral,e2,Yes,L1,Not Joined
C2015UPBMOP,3,37,F,3-SocialMedia,e1,Yes,L7,Joined
C2015COXMVO,3,40,F,1-Consultancy,e1,Yes,L3,Joined
C20157RSKOD,4,37,F,1-Consultancy,e2,No,L4,Not Joined
C2015X8HX7O,4,26,M,3-SocialMedia,e1,Yes,L5,Not Joined
C2015RS5PI6,4,36,F,2-Referral,e1,Yes,L1,Not Joined
C2015I3GFPZ,3,35,M,1-Consultancy,e2,Yes,L3,Not Joined
C2015FW9680,4,35,F,1-Consultancy,e1,Yes,L2,Not Joined
C2015TS33FE,3,37,M,1-Consultancy,e2,No,L4,Not Joined
C2015WS54FH,3,38,F,3-SocialMedia,e2,Yes,L5,Not Joined
C2015UKLA1S,4,39,F,1-Consultancy,e2,Yes,L3,Joined
C2015DO27K6,3,37,F,3-SocialMedia,e1,Yes,L1,Joined
C20151RHFWQ,4,37,M,1-Consultancy,e1,No,L5,Joined
C2015GFBGTX,3,40,F,2-Referral,e1,Yes,L7,Joined
C2015CQP7S8,4,35,M,3-SocialMedia,e2,Yes,L5,Not Joined
C2015U192M9,4,43,F,3-SocialMedia,e1,Yes,L1,Joined
C2015Y72W3H,3,37,M,2-Referral,e1,Yes,L3,Not Joined
C2015BGMF9V,4,27,F,3-SocialMedia,e1,Yes,L2,Not Joined
C2015ZFGE2P,3,37,M,1-Consultancy,e2,No,L4,Not Joined
C2015N4IEOE,3,26,F,3-SocialMedia,e2,No,L5,Not Joined
C20156I4AX8,4,36,F,1-Consultancy,e2,No,L5,Joined
C20154GZEAU,3,39,F,3-SocialMedia,e1,No,L7,Joined
C20150PG525,3,37,F,1-Consultancy,e1,Yes,L3,Joined
C2015AXEUF8,3,37,F,3-SocialMedia,e1,No,L1,Joined
C2015WHXELB,5,40,M,1-Consultancy,e1,Yes,L5,Joined
C2015Q1M881,4,44,F,1-Consultancy,e1,Yes,L7,Joined
C2015LU2JX8,4,37,M,2-Referral,e1,No,L3,Not Joined
C2015KW5161,4,38,F,3-SocialMedia,e1,Yes,L2,Not Joined
C20150U78D3,3,41,F,1-Consultancy,e2,No,L5,Joined
C2015TU02L6,4,35,F,2-Referral,e1,No,L5,Not Joined
C2015V3UQU5,4,36,M,1-Consultancy,e2,Yes,L1,Not Joined
C2015BZI0TF,4,36,M,2-Referral,e2,Yes,L1,Joined
C20154OH4QB,3,39,F,2-Referral,e2,Yes,L5,Joined
C2015VVQ5QU,4,37,M,3-SocialMedia,e2,Yes,L7,Joined
C2015E9UT1T,4,37,F,1-Consultancy,e1,Yes,L3,Joined
C2015ZG1090,4,36,F,2-Referral,e1,Yes,L1,Not Joined
C20156G1G6E,4,44,F,2-Referral,e2,Yes,L5,Joined
C20153GYH43,3,43,M,1-Consultancy,e2,No,L7,Joined
C20158NSA75,4,37,M,2-Referral,e1,Yes,L4,Not Joined
C2015POHCNS,4,41,F,2-Referral,e2,Yes,L1,Joined
C2015T1ZIWU,4,31,M,2-Referral,e1,No,L1,Not Joined
C2015RWOXCG,4,35,M,1-Consultancy,e2,No,L7,Joined
C2015CIUP97,4,36,F,2-Referral,e2,Yes,L3,Joined
C2015CQ5O3J,3,39,M,1-Consultancy,e1,Yes,L1,Joined
C2015AV2OAW,4,37,M,2-Referral,e1,Yes,L5,Joined
C20158OJICD,4,37,F,1-Consultancy,e1,No,L7,Joined
C20157V4FUL,4,37,M,3-SocialMedia,e1,Yes,L3,Not Joined
C2015DDR7HK,4,44,F,3-SocialMedia,e2,No,L1,Joined
C2015SY0GFU,4,43,M,3-SocialMedia,e2,No,L5,Joined
C20158APEB8,4,26,F,2-Referral,e1,No,L5,Not Joined
C201526O353,4,41,M,3-SocialMedia,e1,No,L3,Joined
C2015P1LGC3,3,44,F,2-Referral,e1,Yes,L1,Joined
C2015D2EJ9T,4,35,M,2-Referral,e2,Yes,L5,Joined
C20158D8EFU,3,36,F,2-Referral,e1,Yes,L7,Joined
C2015DW11LI,4,39,M,3-SocialMedia,e1,Yes,L3,Joined
C20150H8MNL,3,31,F,1-Consultancy,e2,Yes,L1,Not Joined
C20153B23XF,3,37,M,1-Consultancy,e2,No,L5,Joined
C20159NE7JT,3,40,F,2-Referral,e1,No,L7,Joined
C2015HGCYMN,4,32,M,2-Referral,e1,No,L4,Not Joined
C2015TAJUCN,5,35,F,3-SocialMedia,e1,Yes,L5,Not Joined
C2015ZTRNXM,3,35,F,2-Referral,e1,Yes,L5,Joined
C2015XICX5K,3,37,F,1-Consultancy,e2,No,L3,Not Joined
C2015NMHBDI,4,44,F,1-Consultancy,e1,No,L3,Joined
C2015V7718Q,3,37,F,1-Consultancy,e2,No,L4,Not Joined
C2015Q5NN0R,3,26,M,3-SocialMedia,e2,No,L5,Not Joined
C2015L5H6D3,4,36,F,3-SocialMedia,e2,No,L1,Not Joined
C2015ZD9WEC,3,35,M,3-SocialMedia,e1,Yes,L3,Not Joined
C201531IJTY,3,37,F,2-Referral,e2,No,L1,Joined
C2015BC5Z4S,3,37,M,3-SocialMedia,e2,Yes,L4,Not Joined
C2015ZYFU19,4,38,F,2-Referral,e1,No,L5,Not Joined
C201579PBCU,4,31,M,3-SocialMedia,e1,Yes,L1,Not Joined
C20153Q5YZ0,4,37,F,2-Referral,e1,No,L3,Not Joined
C2015JMACI3,5,41,M,2-Referral,e2,No,L5,Joined
C2015QK20TL,4,44,F,2-Referral,e1,Yes,L7,Joined
C2015SCEE13,4,35,M,3-SocialMedia,e2,Yes,L3,Joined
C2015YGM8DG,3,36,F,2-Referral,e1,Yes,L1,Joined
C2015IL1OOI,4,37,M,1-Consultancy,e1,No,L3,Not Joined
C2015A3LIN8,4,37,F,2-Referral,e1,Yes,L7,Joined
C2015I0TGEQ,3,37,M,1-Consultancy,e1,Yes,L4,Not Joined
C2015DW1TFB,4,40,F,2-Referral,e1,Yes,L1,Joined
C201583A0ZD,3,36,M,1-Consultancy,e1,No,L1,Not Joined
C201528AGIH,4,35,F,3-SocialMedia,e1,Yes,L3,Not Joined
C2015CYKG00,3,35,M,1-Consultancy,e1,Yes,L2,Not Joined
C2015MU3JZX,3,41,F,2-Referral,e2,No,L1,Joined
C2015NYCTZZ,3,38,M,3-SocialMedia,e1,No,L5,Not Joined
C2015SVDY78,3,31,F,3-SocialMedia,e1,No,L1,Not Joined
C2015QIAR68,4,37,M,2-Referral,e2,No,L3,Not Joined
C201538U516,4,39,F,1-Consultancy,e1,No,L1,Joined
C2015QI74OC,4,32,M,3-SocialMedia,e1,No,L4,Not Joined
C2015RKO7EQ,4,35,F,3-SocialMedia,e1,Yes,L5,Not Joined
C2015IJ5VWM,4,36,M,2-Referral,e2,Yes,L1,Not Joined
C20154850NV,4,37,F,3-SocialMedia,e1,No,L3,Not Joined
C2015OMNLJE,4,27,M,2-Referral,e1,Yes,L2,Not Joined
C201561T6RC,3,35,F,2-Referral,e1,No,L7,Joined
C2015FWAX6M,3,26,M,2-Referral,e1,No,L5,Not Joined
C2015RH0PKJ,3,36,F,1-Consultancy,e1,Yes,L1,Not Joined
C2015B99XRC,4,35,M,3-SocialMedia,e2,No,L5,Joined
C201528AJPD,4,36,F,3-SocialMedia,e2,Yes,L7,Joined
C201511J8T9,4,39,M,2-Referral,e1,Yes,L3,Joined
C2015SBTCAK,3,38,F,2-Referral,e1,No,L5,Not Joined
C2015FA2QH3,4,31,M,1-Consultancy,e2,Yes,L1,Not Joined
C20155HJK6H,4,37,F,2-Referral,e2,Yes,L3,Not Joined
C2015BNJLOU,4,44,F,1-Consultancy,e2,No,L3,Joined
C20153OH6KP,4,43,F,3-SocialMedia,e1,Yes,L1,Joined
C20156QM1PF,4,35,M,3-SocialMedia,e2,Yes,L5,Joined
C2015XBYGSZ,3,41,F,2-Referral,e1,No,L7,Joined
C2015PG17R5,4,37,M,1-Consultancy,e2,Yes,L3,Not Joined
C2015OEG7LW,4,35,F,2-Referral,e1,No,L1,Joined
C20157CBW32,3,36,M,2-Referral,e1,No,L5,Joined
C2015QTTW4B,3,26,F,3-SocialMedia,e1,No,L5,Not Joined
C2015K0DS4L,4,36,M,1-Consultancy,e1,Yes,L1,Not Joined
C2015U1K9YN,4,37,M,2-Referral,e2,Yes,L1,Joined
C2015LD2102,3,35,M,2-Referral,e2,No,L2,Not Joined
C2015DGIZZW,3,37,F,3-SocialMedia,e1,No,L4,Not Joined
C2015DBKT15,4,43,M,3-SocialMedia,e2,No,L3,Joined
C2015AQT7V0,4,35,F,2-Referral,e1,No,L1,Joined
C2015YT0WCH,4,37,M,3-SocialMedia,e2,Yes,L3,Not Joined
C2015V7CXHH,4,38,F,1-Consultancy,e1,Yes,L2,Not Joined
C2015QI8Y2Y,4,32,M,3-SocialMedia,e1,Yes,L4,Not Joined
C2015BPZFFT,3,35,F,3-SocialMedia,e2,No,L5,Not Joined
C20157D405Z,4,36,M,1-Consultancy,e2,No,L1,Not Joined
C2015LEXPFY,4,37,F,3-SocialMedia,e2,Yes,L3,Not Joined
C20156M90ET,4,37,F,2-Referral,e2,No,L3,Joined
C2015PY0599,4,37,F,2-Referral,e2,No,L4,Not Joined
C2015AWNFVH,4,26,M,1-Consultancy,e2,No,L5,Not Joined
C2015J64OZA,4,36,F,1-Consultancy,e1,Yes,L1,Not Joined
C2015378X7K,3,35,M,1-Consultancy,e2,Yes,L3,Not Joined
C201561GOZT,4,41,F,2-Referral,e2,No,L1,Joined
C201595982X,4,37,M,1-Consultancy,e1,No,L4,Not Joined
C2015GXAFWL,4,35,F,2-Referral,e1,No,L7,Joined
C2015CDYEKC,4,31,M,1-Consultancy,e2,No,L1,Not Joined
C2015KAW4WP,4,37,F,1-Consultancy,e1,Yes,L3,Not Joined
C2015I29DQ7,3,38,M,3-SocialMedia,e1,Yes,L2,Not Joined
C20154CUSXH,4,32,F,1-Consultancy,e2,No,L4,Not Joined
C2015QAIBOR,4,40,M,3-SocialMedia,e2,Yes,L3,Joined
C2015QVX0S6,4,44,F,1-Consultancy,e2,Yes,L1,Joined
C2015XZ12J1,4,43,F,2-Referral,e1,No,L5,Joined
C2015R0XCUA,4,27,F,1-Consultancy,e2,Yes,L2,Not Joined
C2015LJF4TK,3,41,M,2-Referral,e2,Yes,L3,Joined
C2015ZP7CU7,4,26,F,2-Referral,e2,Yes,L5,Not Joined
C20150LMXZ1,4,36,M,3-SocialMedia,e1,Yes,L1,Not Joined
C2015L5TZ8L,4,36,F,3-SocialMedia,e1,No,L7,Joined
C201524FR2E,3,39,M,1-Consultancy,e2,No,L3,Joined
C2015WE1OO0,3,37,M,2-Referral,e2,No,L1,Joined
C2015RL6C8T,3,38,M,1-Consultancy,e1,Yes,L5,Not Joined
C20157CYDVX,4,40,F,2-Referral,e1,Yes,L7,Joined
C2015LCO3PC,3,37,M,3-SocialMedia,e2,No,L3,Not Joined
C2015VA3RNZ,3,43,F,2-Referral,e1,No,L1,Joined
C20151YLCZT,5,35,M,2-Referral,e2,Yes,L5,Joined
C2015TMOEYE,3,41,F,2-Referral,e2,Yes,L7,Joined
C201533NXBA,4,44,M,3-SocialMedia,e2,Yes,L3,Joined
C2015XSN5MY,3,35,F,3-SocialMedia,e1,No,L1,Joined
C2015D50SXI,4,36,M,2-Referral,e2,Yes,L5,Joined
C2015YLRIMG,3,37,F,3-SocialMedia,e1,Yes,L4,Not Joined
C2015OXFNRE,3,37,M,2-Referral,e2,Yes,L3,Joined
C20151KBFL3,3,36,F,1-Consultancy,e1,Yes,L1,Not Joined
C2015VLLDGH,3,40,F,1-Consultancy,e1,Yes,L5,Joined
C201545HM0K,4,44,F,2-Referral,e1,No,L7,Joined
C2015AN5YXC,3,37,M,1-Consultancy,e2,Yes,L4,Not Joined
C2015PMZ055,4,35,F,3-SocialMedia,e2,No,L1,Joined
C2015RD3ITN,4,31,M,1-Consultancy,e2,Yes,L1,Not Joined
C2015C5J8QO,5,44,M,1-Consultancy,e1,Yes,L7,Joined
C2015D24JD2,4,38,M,2-Referral,e2,No,L2,Not Joined
C2015H2VGSP,3,36,F,1-Consultancy,e1,Yes,L1,Joined
C2015B0QUMY,4,39,F,3-SocialMedia,e2,Yes,L5,Joined
C2015X2DTUS,4,36,F,3-SocialMedia,e2,No,L1,Not Joined
C2015LDBNZU,3,37,M,3-SocialMedia,e2,No,L3,Not Joined
C20154F2CQE,4,40,F,1-Consultancy,e2,Yes,L1,Joined
C20153801E8,4,37,M,1-Consultancy,e2,Yes,L4,Not Joined
C2015D0IAAF,4,26,F,1-Consultancy,e2,No,L5,Not Joined
C2015BIILHU,4,36,M,2-Referral,e2,Yes,L1,Not Joined
C2015JL9YDW,4,41,F,1-Consultancy,e1,Yes,L1,Joined
C2015HG57W4,4,35,M,3-SocialMedia,e1,No,L2,Not Joined
C2015KT45RQ,3,37,F,2-Referral,e2,No,L4,Not Joined
C20157RXRJK,3,36,F,2-Referral,e1,No,L3,Joined
C2015TSONBA,3,31,F,1-Consultancy,e2,No,L1,Not Joined
C2015ZKR3MW,4,37,M,2-Referral,e2,No,L3,Not Joined
C2015F6FKH8,3,38,F,3-SocialMedia,e1,No,L2,Not Joined
C2015724E8P,3,32,M,2-Referral,e2,Yes,L4,Not Joined
C2015S3N5BI,3,35,F,3-SocialMedia,e1,Yes,L5,Not Joined
C2015A4Y81G,4,36,M,3-SocialMedia,e1,Yes,L1,Not Joined
C2015P2HXXV,4,35,F,2-Referral,e1,No,L7,Joined
C2015YMCV9B,3,41,F,2-Referral,e1,Yes,L3,Joined
C2015E0B3NQ,3,37,F,2-Referral,e1,Yes,L4,Not Joined
C2015DPL7MK,4,35,M,3-SocialMedia,e2,No,L5,Joined
C20159THW4A,3,36,M,1-Consultancy,e2,Yes,L7,Joined
C20150HG39D,3,35,M,2-Referral,e1,No,L3,Not Joined
C2015WSX9QM,4,37,M,1-Consultancy,e1,Yes,L1,Joined
C2015ZCNT2E,3,37,M,3-SocialMedia,e1,No,L4,Not Joined
C20150T6EK8,4,40,F,2-Referral,e2,Yes,L7,Joined
C201592J102,4,44,M,3-SocialMedia,e1,Yes,L3,Joined
C2015GS0D2U,4,37,F,2-Referral,e1,Yes,L3,Not Joined
C20158JLMR3,4,38,M,3-SocialMedia,e1,No,L2,Not Joined
C20152N87BG,3,41,F,1-Consultancy,e2,No,L7,Joined
C2015OLNHL4,4,35,M,3-SocialMedia,e2,Yes,L5,Not Joined
C2015Q5OL5I,3,35,M,2-Referral,e1,Yes,L1,Joined
C2015WEC18A,4,37,M,3-SocialMedia,e2,Yes,L3,Not Joined
C2015JFWXAP,4,27,F,2-Referral,e2,Yes,L2,Not Joined
C20152POQ4T,4,37,M,1-Consultancy,e1,No,L4,Not Joined
C2015HNCIKA,3,37,F,3-SocialMedia,e2,No,L1,Joined
C2015S01IH7,3,36,M,3-SocialMedia,e2,No,L1,Not Joined
C2015WHPHY7,4,44,F,1-Consultancy,e2,No,L7,Joined
C20156ZBTSF,4,43,M,2-Referral,e2,No,L3,Joined
C2015Y0GFNO,4,35,F,3-SocialMedia,e1,Yes,L1,Joined
C2015VI3WNJ,4,38,M,1-Consultancy,e1,Yes,L5,Not Joined
C20156B8YXK,4,31,F,3-SocialMedia,e2,No,L1,Not Joined
C2015IJGBWU,4,35,M,3-SocialMedia,e2,No,L3,Joined
C2015CRLEFM,3,36,F,2-Referral,e1,Yes,L1,Joined
C2015OZ2I8I,4,39,M,3-SocialMedia,e2,No,L5,Joined
C2015K8HMHD,3,35,F,2-Referral,e1,No,L5,Not Joined
C201509OQEX,3,37,F,1-Consultancy,e1,No,L3,Joined
C2015CVVS17,4,37,F,1-Consultancy,e2,Yes,L3,Not Joined
C20152OSW5R,4,44,M,2-Referral,e1,No,L5,Joined
C2015OEIWV5,4,43,F,3-SocialMedia,e2,Yes,L7,Joined
C2015BZX7OH,4,26,M,2-Referral,e2,No,L5,Not Joined
C2015VT4RPB,3,36,F,3-SocialMedia,e1,No,L1,Not Joined
C2015R72Z6J,4,35,M,3-SocialMedia,e2,No,L3,Not Joined
C2015NO4ZTW,3,35,F,1-Consultancy,e2,No,L2,Not Joined
C2015K9DVX1,4,37,M,1-Consultancy,e1,No,L4,Not Joined
C2015Z3I6JY,4,38,F,3-SocialMedia,e2,No,L5,Not Joined
C2015NVFW86,5,31,M,2-Referral,e1,No,L1,Not Joined
C2015D3QBH5,3,37,F,1-Consultancy,e1,No,L3,Not Joined
C2015IF3CR3,4,40,F,2-Referral,e2,Yes,L3,Joined
C2015J9NEKH,3,44,M,3-SocialMedia,e1,No,L1,Joined
C2015M7D08I,4,43,F,2-Referral,e1,Yes,L5,Joined
C20159887PJ,3,35,M,2-Referral,e2,No,L7,Joined
C2015M184BJ,3,37,M,1-Consultancy,e2,Yes,L3,Not Joined
C2015M9UQPO,3,27,F,2-Referral,e1,Yes,L2,Not Joined
C2015FONJ1F,4,37,M,3-SocialMedia,e1,No,L4,Not Joined
C2015KCEHXW,3,36,F,3-SocialMedia,e1,Yes,L7,Joined
C2015J3EJ08,3,36,M,2-Referral,e2,No,L1,Not Joined
C201566JD2C,4,35,F,2-Referral,e1,No,L3,Not Joined
C20154KBYEN,4,35,M,2-Referral,e1,No,L2,Not Joined
C20157PKZXD,3,40,F,1-Consultancy,e2,Yes,L7,Joined
C2015PV30GD,4,38,M,3-SocialMedia,e1,No,L5,Not Joined
C20154MQTU3,3,31,F,1-Consultancy,e2,Yes,L1,Not Joined
C2015M2DGJS,4,35,M,2-Referral,e2,No,L5,Joined
C2015F3D9YE,3,41,F,2-Referral,e2,Yes,L7,Joined
C2015FY7BA6,4,32,M,3-SocialMedia,e1,No,L4,Not Joined
C2015VX0YDD,4,35,F,1-Consultancy,e1,Yes,L5,Not Joined
C2015FJK4S1,4,36,M,3-SocialMedia,e2,No,L1,Not Joined
C2015AFN1NR,4,39,M,1-Consultancy,e1,Yes,L7,Joined
C201539KZ4R,3,37,M,1-Consultancy,e1,Yes,L3,Joined
C2015DV6DU5,4,37,F,2-Referral,e2,No,L4,Not Joined
C2015S3MO7S,4,26,M,2-Referral,e2,Yes,L5,Not Joined
C2015FP5YAV,4,44,F,3-SocialMedia,e1,Yes,L7,Joined
C2015NWV281,4,43,M,3-SocialMedia,e2,No,L3,Joined
C2015HHX2B5,3,35,F,1-Consultancy,e1,Yes,L2,Not Joined
C2015F0972P,4,37,M,2-Referral,e2,Yes,L4,Not Joined
C2015QHOETK,4,44,F,2-Referral,e2,Yes,L7,Joined
C2015PPYR2I,4,35,M,2-Referral,e1,No,L3,Joined
C2015UW10O1,4,37,F,1-Consultancy,e2,No,L3,Not Joined
C20153IXN8J,3,39,F,2-Referral,e2,No,L5,Joined
C20156SBTCT,4,32,F,2-Referral,e1,Yes,L4,Not Joined
C2015VW731G,3,37,M,3-SocialMedia,e1,No,L3,Joined
C2015FPR4YF,4,40,F,2-Referral,e2,No,L1,Joined
C201592Z065,4,44,M,2-Referral,e1,Yes,L5,Joined
C2015SC5JM1,4,27,F,3-SocialMedia,e1,No,L2,Not Joined
C2015PWDLNX,4,37,M,3-SocialMedia,e2,No,L4,Not Joined
C2015LQJ8JV,4,41,F,3-SocialMedia,e2,Yes,L1,Joined
C2015K73CTV,3,44,F,1-Consultancy,e2,Yes,L5,Joined
C20154215MN,5,35,F,2-Referral,e1,Yes,L3,Not Joined
C2015RNKOKW,4,35,M,2-Referral,e1,Yes,L2,Not Joined
C2015OPS83M,4,37,F,3-SocialMedia,e2,Yes,L4,Not Joined
C2015K0LTCR,4,37,M,3-SocialMedia,e1,Yes,L5,Joined
C2015LZ2HEI,4,31,F,3-SocialMedia,e2,No,L1,Not Joined
C2015SLQK6I,4,37,M,3-SocialMedia,e1,No,L3,Not Joined
C2015QTNG8Q,4,44,M,2-Referral,e2,No,L1,Joined
C20153EXV78,4,43,F,1-Consultancy,e1,Yes,L5,Joined
C2015KGJY3I,4,35,M,1-Consultancy,e2,Yes,L7,Joined
C2015VH67MD,4,41,M,2-Referral,e2,Yes,L3,Joined
C2015HQK05Z,3,37,F,3-SocialMedia,e2,No,L3,Not Joined
C2015SNMQAQ,4,35,M,3-SocialMedia,e1,No,L5,Joined
C20155HZCM9,4,37,F,3-SocialMedia,e1,No,L4,Not Joined
C20151W4J85,3,39,M,1-Consultancy,e2,No,L3,Joined
C201585AQJG,3,37,M,1-Consultancy,e1,Yes,L1,Joined
C20158WV9IB,3,35,M,1-Consultancy,e1,Yes,L3,Not Joined
C2015ZBL9X3,4,35,F,3-SocialMedia,e2,Yes,L2,Not Joined
C2015CNL7WT,3,37,M,2-Referral,e2,No,L4,Not Joined
C2015H5IKJL,3,43,F,3-SocialMedia,e2,No,L1,Joined
C2015H4CZS6,4,31,M,3-SocialMedia,e2,Yes,L1,Not Joined
C2015MOW5BQ,4,37,F,2-Referral,e2,Yes,L3,Not Joined
C2015JKHPVD,3,38,M,2-Referral,e1,No,L2,Not Joined
C2015ZGONXG,4,32,F,1-Consultancy,e2,No,L4,Not Joined
C2015LJHQDD,4,35,M,3-SocialMedia,e1,Yes,L5,Not Joined
C20156E4TDR,3,36,F,1-Consultancy,e2,Yes,L1,Not Joined
C2015IA20TJ,4,37,M,3-SocialMedia,e1,Yes,L3,Not Joined
C2015LUE4CZ,3,27,F,2-Referral,e1,No,L2,Not Joined
C2015SXLLIR,4,37,M,1-Consultancy,e1,Yes,L4,Not Joined
C2015RU8RRC,3,26,F,3-SocialMedia,e1,No,L5,Not Joined
C20153ZIR1D,4,43,M,1-Consultancy,e1,No,L3,Joined
C2015ESE8S3,4,35,F,1-Consultancy,e2,No,L3,Not Joined
C2015G2L4X8,5,35,M,3-SocialMedia,e2,No,L2,Not Joined
C201558W9NV,4,37,F,1-Consultancy,e2,Yes,L4,Not Joined
C20154CLDTC,4,35,M,2-Referral,e1,No,L3,Joined
C2015GBUITV,4,31,F,3-SocialMedia,e1,Yes,L1,Not Joined
C2015ZC5RGE,3,37,M,1-Consultancy,e2,No,L3,Not Joined
C2015EC6JML,3,37,F,3-SocialMedia,e2,No,L7,Joined
C20152I3ZIO,3,37,M,1-Consultancy,e2,No,L3,Joined
C201520D1QJ,4,40,F,2-Referral,e1,Yes,L1,Joined
C20158HR1WC,4,44,M,3-SocialMedia,e2,Yes,L5,Joined
C2015E6KP26,3,37,F,1-Consultancy,e2,No,L3,Not Joined
C2015X5ALKZ,3,27,M,3-SocialMedia,e1,No,L2,Not Joined
C2015NC0TKA,4,41,F,3-SocialMedia,e2,Yes,L1,Joined
C2015NIEIJ1,4,44,M,2-Referral,e2,Yes,L5,Joined
C2015WSWFVO,3,36,F,3-SocialMedia,e2,No,L1,Not Joined
C2015ZLGC1O,4,35,M,3-SocialMedia,e1,Yes,L3,Not Joined
C2015K86QN7,3,35,F,3-SocialMedia,e1,Yes,L2,Not Joined
C2015GNXPYV,3,37,F,2-Referral,e1,Yes,L5,Joined
C2015TVLBK2,4,38,F,1-Consultancy,e2,No,L5,Not Joined
C2015HJ2JOD,3,40,F,1-Consultancy,e2,Yes,L3,Joined
C2015CH5G9S,4,37,F,3-SocialMedia,e2,Yes,L3,Not Joined
C2015XGUX7T,3,43,M,2-Referral,e2,No,L5,Joined
C2015SM09JK,4,35,F,2-Referral,e1,No,L7,Joined
C2015C2LJB2,3,41,M,1-Consultancy,e1,No,L3,Joined
C2015PGQ565,3,44,M,3-SocialMedia,e2,No,L1,Joined
C2015QBEVZL,3,35,M,2-Referral,e2,No,L5,Joined
C20157IZEPY,3,27,F,3-SocialMedia,e2,No,L2,Not Joined
C20159P2S0D,4,37,M,3-SocialMedia,e2,No,L4,Not Joined
C2015C89A71,4,37,F,2-Referral,e2,No,L1,Joined
C20155AERK6,3,36,M,2-Referral,e1,No,L1,Not Joined
C2015XUTULB,3,35,F,1-Consultancy,e1,Yes,L3,Not Joined
C2015172Y5B,4,44,M,2-Referral,e1,No,L3,Joined
